Leukemia (Chronic Myeloid),Slow proliferation of myeloid cells,C92.1,Fatigue;Weight loss;Splenomegaly;Night sweats,Mild-Moderate,CBC;Bone marrow biopsy;BCR-ABL testing,Tyrosine kinase inhibitors;Stem cell transplant,Adults;Genetic risk factors,Gradual,Adults,Labs: Philadelphia chromosome positive
Leukemia (Chronic Lymphocytic),Slow proliferation of lymphoid cells,C91.1,Fatigue;Lymphadenopathy;Recurrent infections;Weight loss,Mild-Moderate,CBC;Flow cytometry;Bone marrow biopsy,Observation;Chemotherapy in progressive cases,Older age;Immunocompromised,Gradual,Adults,Labs: Lymphocytosis;Smudge cells
Lymphoma (Hodgkin),Malignant lymphoid tumor,C81,Fever;Night sweats;Weight loss;Painless lymphadenopathy,Moderate-Severe,Excisional lymph node biopsy;Imaging,Chemotherapy;Radiotherapy;Immunotherapy,Immunosuppressed;Family history,Gradual,Young adults;Adults,Labs: Reed-Sternberg cells
Lymphoma (Non-Hodgkin),Malignant lymphoid tumor,C82-C85,Fever;Night sweats;Weight loss;Painless lymphadenopathy,Moderate-Severe,Excisional biopsy;Flow cytometry;Imaging,Chemotherapy;Immunotherapy;Stem cell transplant,Older age;Immunosuppressed,Gradual,Adults,Labs: Lymphadenopathy;Abnormal lymphoid cells
Polycythemia Vera,Clonal myeloproliferative disorder,D45,Headache;Dizziness;Red face;Fatigue;Thrombosis,Moderate-Severe,CBC;JAK2 mutation testing,Phlebotomy;Hydroxyurea;Aspirin,Older age;Genetic predisposition,Gradual,Adults,Labs: Elevated RBCs;High hematocrit
Thrombocytopenia (ITP),Immune-mediated low platelet count,D69.3,Bruising;Petechiae;Bleeding gums;Fatigue,Mild-Moderate,CBC;Bone marrow biopsy,Corticosteroids;IVIG;Platelet transfusions,Autoimmune disorders;Children;Adults,Acute or Chronic,All ages,Labs: Low platelets;Normal marrow
Hemolytic Anemia,Premature destruction of RBCs,D55-D59,Fatigue;Pallor;Jaundice;Dark urine;Splenomegaly,Mild-Moderate,CBC;Reticulocyte count;Coombs test,Treat underlying cause;Transfusion;Splenectomy,Autoimmune disease;G6PD deficiency,Acute or Chronic,All ages,Labs: Spherocytes;High reticulocyte count
Multiple Myeloma,Plasma cell malignancy,C90.0,Bone pain;Fatigue;Anemia;Hypercalcemia;Renal dysfunction,Severe,CBC;Bone marrow biopsy;Serum protein electrophoresis,Chemotherapy;Stem cell transplant;Bisphosphonates,Older age;Immunocompromised,Gradual,Adults,Labs: M-protein;Lytic bone lesions
Disseminated Intravascular Coagulation,Dysregulated coagulation leading to thrombosis and bleeding,D65,Bleeding;Bruising;Petechiae;Organ failure,Severe,CBC;Coagulation profile;D-dimer,Treat underlying cause;Blood products;ICU,Sepsis;Trauma;Malignancy,Acute,All ages,Labs: Low platelets;Prolonged PT/aPTT;Fibrin degradation products
Disease,Description,ICD10,Symptoms,Severity,Tests,Treatments,Comorbidities,SymptomOnset,DemographicRisks,MockImageFindings
Vitamin A Deficiency,Deficiency of vitamin A leading to vision and skin problems,E50,Night blindness;Xerophthalmia;Dry skin;Bitot spots,Mild-Moderate,Serum retinol levels;Eye exam,Vitamin A supplementation;Diet modification,Malnutrition;Chronic diarrhea,Gradual,Children;Pregnant women,Eye: Bitot spots;Conjunctival dryness
Vitamin B1 (Thiamine) Deficiency,Beri-beri affecting cardiovascular and nervous systems,E51,Peripheral neuropathy;Fatigue;Cardiomegaly;Edema,Mild-Severe,Blood thiamine;Nerve conduction studies,Thiamine supplementation;Supportive care,Alcoholism;Malnutrition,Gradual,Adults with malnutrition;Alcoholics,Labs: Low thiamine;Cardiomegaly on X-ray
Vitamin B2 (Riboflavin) Deficiency,Leads to ariboflavinosis,E53,Cheilitis;Glossitis;Seborrheic dermatitis;Photophobia,Mild,Serum riboflavin,Oral riboflavin supplementation,Malnutrition;Pregnancy,Gradual,Children;Pregnant women,Labs: Angular cheilitis;Glossy red tongue
Vitamin B3 (Niacin) Deficiency,Pellagra characterized by the 3 D's: dermatitis, diarrhea, dementia,E54,Photosensitive dermatitis;Diarrhea;Cognitive decline;Glossitis,Moderate-Severe,Serum niacin;Urinary metabolites,Niacin supplementation;Dietary modification,Alcoholism;Malnutrition,Gradual;Adults with malnutrition;Labs: Dermatitis;Glossitis;Diarrhea
Vitamin B6 (Pyridoxine) Deficiency,Leads to neuropathy and anemia,E56,Peripheral neuropathy;Irritability;Depression;Microcytic anemia,Mild-Moderate,Serum B6;CBC,Pyridoxine supplementation,Renal disease;Isoniazid therapy,Gradual,Adults;Elderly,Labs: Microcytic anemia;Low serum B6
Vitamin B12 (Cobalamin) Deficiency,Leads to megaloblastic anemia and neuropathy,E53.8,Fatigue;Pallor;Glossitis;Paresthesia;Balance issues,Moderate-Severe,Serum B12;Methylmalonic acid;CBC,B12 injections or oral supplementation,Vegetarians;Pernicious anemia;Elderly,Gradual,Elderly;Vegetarians,Labs: Macrocytic anemia;Hypersegmented neutrophils
Folate (Vitamin B9) Deficiency,Leads to megaloblastic anemia and neural tube defects,E53.9,Fatigue;Pallor;Glossitis;Shortness of breath,Mild-Moderate,Serum folate;CBC,Folate supplementation,Alcoholism;Pregnancy;Malnutrition,Gradual,Pregnant women;Malnourished,Labs: Macrocytic anemia
Vitamin C Deficiency,Leads to scurvy with bleeding tendencies,E54,Bleeding gums;Petechiae;Easy bruising;Fatigue;Joint pain,Mild-Moderate,Plasma ascorbic acid;CBC,Vitamin C supplementation;Diet modification,Malnutrition;Alcoholism,Gradual,All ages at risk of malnutrition,Labs: Low serum vitamin C;Gum bleeding
Vitamin D Deficiency,Leads to rickets in children and osteomalacia in adults,E55,Bone pain;Muscle weakness;Fractures;Delayed growth,Mild-Moderate,Serum 25(OH)D;X-rays,Bone-strengthening supplements;Vitamin D supplementation,Chronic kidney disease;Malabsorption,Gradual,Children;Elderly;Limited sun exposure,X-ray: Looser zones;Bowing of legs in children
Vitamin E Deficiency,Leads to neurologic and hematologic issues,E56.3,Ataxia;Peripheral neuropathy;Hemolytic anemia;Muscle weakness,Mild-Moderate,Serum alpha-tocopherol;Neurological exam,Malabsorption syndromes;Premature infants,Gradual,Infants;Adults with fat malabsorption,Labs: Low serum vitamin E;Hemolytic anemia
Vitamin K Deficiency,Leads to bleeding disorders,E56.4,Bleeding gums;Easy bruising;Prolonged clotting;Hemorrhage,Moderate-Severe,Prothrombin time;INR,Vitamin K supplementation;Fresh frozen plasma in severe cases,Malabsorption;Newborns;Warfarin overdose,Acute or Chronic,Infants;Adults on anticoagulants,Labs: Prolonged PT/INR;Normal platelets
Salmonella Infection,Bacterial food poisoning caused by Salmonella species,A02.0,Diarrhea;Fever;Abdominal cramps;Nausea;Vomiting,Mild-Moderate,Stool culture;Blood tests;PCR,Hydration;Antibiotics in severe cases,Immunocompromised;Elderly;Children,Acute,All ages;Improperly cooked food,Labs: Positive stool culture;Mild dehydration signs
E. coli (Enterotoxigenic / EHEC),Bacterial food poisoning causing diarrhea and hemolytic uremic syndrome,A04.0,Watery or bloody diarrhea;Abdominal pain;Fever;Vomiting,Moderate-Severe,Stool culture;PCR;Shiga toxin test,Hydration;Antibiotics only for severe cases;Avoid anti-diarrheal in EHEC,Children;Elderly;Immunocompromised,Acute,All ages;Contaminated food,Lab: Positive stool culture;Hemolytic anemia;Elevated creatinine
Listeriosis,Foodborne illness caused by Listeria monocytogenes,A32.0,Fever;Muscle aches;Nausea;Diarrhea;Meningitis in severe cases,Severe,Blood culture;CSF culture;PCR,IV antibiotics (ampicillin ± gentamicin),Pregnancy;Immunocompromised;Elderly,Acute,Pregnant women;Elderly;Immunocompromised,Labs: Positive blood culture;CSF abnormal in meningitis
Staphylococcal Food Poisoning,Toxin-mediated food poisoning from Staphylococcus aureus,A05.0,Nausea;Vomiting;Diarrhea;Abdominal cramps;Mild fever,Mild,Clinical diagnosis;Stool culture rarely needed,Hydration;Antiemetics if needed,All ages;People with poor hygiene,Acute,All ages;Improperly stored food,Lab: Normal;No pathogen in stool if toxin-mediated
Clostridium perfringens Food Poisoning,Toxin-mediated bacterial food poisoning,A05.2,Abdominal cramps;Diarrhea;Nausea;Mild fever,Mild,Clinical diagnosis;Stool culture,Hydration;Supportive care,Adults after buffet/large meals,Acute,All ages;Buffet-style/large cooked meals,Lab: Stool may show C. perfringens enterotoxin
Botulism,Severe neurotoxic food poisoning from Clostridium botulinum,A05.1,Descending paralysis;Double vision;Drooping eyelids;Difficulty swallowing;Nausea,Severe,Toxin assay;Electromyography;Clinical diagnosis,IV antitoxin;Mechanical ventilation if needed,Infants;Improperly canned foods;Homemade preserved foods,Acute,All ages;Home-canned foods,Lab: Toxin detected in serum/stool
Norovirus Infection,Viral gastroenteritis causing vomiting and diarrhea,A08.1,Nausea;Vomiting;Watery diarrhea;Abdominal cramps;Low-grade fever,Mild-Moderate,RT-PCR;Stool antigen test,Hydration;Antiemetics if needed,All ages,Acute,All ages;Contaminated food or water,Lab: Positive stool PCR
Hepatitis A,Viral foodborne liver infection,A08.0,Fever;Fatigue;Nausea;Loss of appetite;Jaundice;Dark urine,Moderate,Blood IgM anti-HAV;Liver function tests,Supportive care;Hydration;Avoid hepatotoxic drugs,Travelers;Unvaccinated;Contaminated food/water,Acute,Children;Adults in endemic areas,Labs: Elevated AST/ALT;Positive IgM anti-HAV
Giardiasis,Parasitic food/waterborne infection,B67.1,Diarrhea;Fatigue;Abdominal cramps;Bloating;Nausea,Mild-Moderate,Stool microscopy;Antigen test,Metronidazole or Tinidazole,Travelers;Immunocompromised,Acute-Subacute,Children;Travelers,Labs: Giardia cysts in stool
Cryptosporidiosis,Parasitic food/waterborne diarrhea,A07.2,Watery diarrhea;Abdominal cramps;Nausea;Fever,Mild-Moderate,Stool microscopy;PCR,Hydration;Nitazoxanide in severe cases,Immunocompromised;Children,Acute-Subacute,Children;Immunocompromised,Labs: Cryptosporidium oocysts in stool
Asthma,Chronic inflammatory airway disease,J45,Shortness of breath;Wheezing;Cough;Chest tightness,Mild-Severe,Spirometry;Allergy tests,Inhaled corticosteroids;Bronchodilators;Allergen avoidance,Allergic rhinitis;Eczema,Acute or Chronic,Children;Allergy-prone adults,Normal;Hyperinflated lungs on X-ray in severe cases
Chronic Obstructive Pulmonary Disease (COPD),Progressive airway obstruction,J44,Chronic cough;Sputum production;Dyspnea;Wheezing,Moderate-Severe,Spirometry;Chest X-ray;CT scan,Bronchodilators;Corticosteroids;Oxygen therapy,Smoking;Cardiovascular disease,Chronic,Adults over 40;Smokers,Hyperinflated lungs;Flattened diaphragm
Pneumonia,Infection of lung parenchyma,J18,Fever;Cough;Dyspnea;Chest pain;Fatigue,Moderate-Severe,Chest X-ray;Sputum culture;Blood tests,Antibiotics;Supportive care;Oxygen therapy,Chronic lung disease;Immunocompromised,Acute,All ages;Elderly,Consolidation on X-ray
Tuberculosis,Mycobacterial infection of lungs,A15,A16,Chronic cough;Hemoptysis;Night sweats;Fever;Weight loss,Severe,Chest X-ray;Sputum smear;Culture;PCR,Multi-drug therapy for 6–9 months,HIV;Immunocompromised,Chronic,Adults;HIV patients;Cavitary lesions on X-ray
Pulmonary Embolism,Blockage of pulmonary artery by a thrombus,I26,Acute shortness of breath;Pleuritic chest pain;Cough;Hemoptysis;Tachycardia,Severe,D-dimer;CT pulmonary angiography;Echocardiography,Anticoagulation therapy;Thrombolysis in severe cases,Deep vein thrombosis;Cancer,Acute,Adults over 40;Post-surgery,CT: Filling defect in pulmonary artery
Pneumothorax,Collapsed lung,I26.0,Sudden unilateral chest pain;Shortness of breath;Reduced breath sounds,Moderate-Severe,Chest X-ray;CT scan,Observation for small;Chest tube for large;Surgery if recurrent,Smoking;COPD,Acute,Young adults;Smokers,Air in pleural space on X-ray
Acute Myocardial Infarction (Heart Attack),Blockage of coronary artery leading to ischemia,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Sweating;Nausea,Severe,ECG;Cardiac enzymes (Troponin);Coronary angiography,PCI;Thrombolysis;Antiplatelets;Beta-blockers,Hypertension;Diabetes;Smoking,Acute,Adults over 40;High-risk cardiac patients,ECG: ST elevation;Troponin elevated
Angina Pectoris,Chest pain due to myocardial ischemia,I20,Chest tightness;Pain radiating to arm/jaw;Shortness of breath,Moderate,ECG;Stress test;Coronary angiography,Nitrates;Beta-blockers;Lifestyle changes,Hypertension;Diabetes;Smoking,Chronic,Adults over 40;Cardiovascular risk factors,ECG: ST depression during exertion
Heart Failure (Left-sided),Impaired left ventricular function,I50.1,Shortness of breath;Orthopnea;Paroxysmal nocturnal dyspnea;Fatigue;Pulmonary edema,Severe,Echocardiography;BNP blood test;Chest X-ray,Diuretics;ACE inhibitors;Beta-blockers;Lifestyle modification,Hypertension;Coronary artery disease,Chronic,Adults over 50;Cardiac history,Pulmonary congestion on X-ray
Heart Failure (Right-sided),Right ventricular dysfunction causing systemic congestion,I50.0,Peripheral edema;Ascites;Hepatomegaly;Fatigue,Moderate-Severe,Echocardiography;BNP blood test,Diuretics;Treat underlying cause,Lung disease;Left-sided heart failure,Chronic,Adults over 50;Cardiac history,JVD;Hepatomegaly;Peripheral edema on exam
Hypertension,Chronic elevation of blood pressure,I10,Often asymptomatic;Headache;Dizziness;Nosebleeds in severe cases,Moderate,Blood pressure measurement;Blood tests,Lifestyle changes;Antihypertensive medications,Heart disease;Kidney disease,Gradual,Adults over 40;Family history,Normal
Atrial Fibrillation,Irregular atrial rhythm leading to thromboembolism,I48,Palpitations;Fatigue;Shortness of breath;Dizziness,Moderate-Severe,ECG;Holter monitor;Echocardiography,Rate/rhythm control;Anticoagulation,Hypertension;Heart disease,Acute/Chronic,Older adults;Cardiovascular risk factors,ECG: Irregularly irregular rhythm
Cardiomyopathy,Disease of heart muscle impairing contractility,I42,Shortness of breath;Fatigue;Peripheral edema;Palpitations,Moderate-Severe,Echocardiography;Cardiac MRI;Genetic testing,Treat underlying cause;Medications for heart failure,Hypertension;Diabetes;Family history,Chronic,Adults;Genetic predisposition,Enlarged heart on echo/CT
Chronic Bronchitis,Long-term inflammation of bronchi,J41,Chronic cough with sputum;Dyspnea;Wheezing,Mild-Moderate,Spirometry;Chest X-ray,Bronchodilators;Corticosteroids;Smoking cessation,Smoking;COPD,Chronic,Adults over 40;Smokers,Hyperinflated lungs;Bronchial wall thickening
Emphysema,Destruction of alveoli leading to airflow obstruction,J43,Shortness of breath;Reduced exercise tolerance;Chronic cough,Mild-Severe,Spirometry;Chest CT,Bronchodilators;Oxygen therapy;Smoking cessation,Smoking;COPD,Chronic,Adults over 40;Smokers,Hyperinflated lungs;Bullae on CT
Generalized Anxiety Disorder (GAD),Excessive anxiety and worry over multiple events,F41.1,Restlessness;Fatigue;Difficulty concentrating;Irritability;Muscle tension;Sleep disturbance,Mild-Moderate,Clinical assessment;Psychological questionnaires,Cognitive Behavioral Therapy (CBT);SSRIs;Stress management,Depression;Insomnia,Gradual,Adults;High-stress environments,Normal functional imaging
Panic Disorder,Recurrent unexpected panic attacks,F41.0,Palpitations;Sweating;Trembling;Shortness of breath;Chest pain;Fear of losing control,Moderate-Severe,Clinical assessment;Psychological questionnaires;Cardiac evaluation to rule out MI,Cognitive Behavioral Therapy;SSRIs;Benzodiazepines,Depression;Agoraphobia,Acute/Gradual,Adults;History of trauma,Normal functional imaging;Hyperactive amygdala on fMRI in severe cases
Social Anxiety Disorder,Fear of social situations causing avoidance,F40.1,Intense fear of social interaction;Blushing;Sweating;Palpitations;Avoidance behavior,Mild-Moderate,Clinical assessment;Psychological questionnaires,Cognitive Behavioral Therapy;Exposure therapy;SSRIs,Depression;Substance abuse,Gradual,Adolescents;High-stress social environments,Normal functional imaging
Post-Traumatic Stress Disorder (PTSD),Anxiety following traumatic events,F43.10,Intrusive memories;Nightmares;Hypervigilance;Avoidance;Irritability;Flashbacks,Moderate-Severe,Clinical assessment;Psychological questionnaires;PTSD-specific scales,Trauma-focused CBT;EMDR;SSRIs,Depression;Substance abuse,Acute or Delayed,Adults;History of trauma,Hyperactive amygdala;Altered hippocampal volume in imaging
Obsessive-Compulsive Disorder (OCD),Recurrent obsessions and compulsions,F42,Intrusive thoughts;Repetitive behaviors;Anxiety;Distress if rituals not performed,Moderate-Severe,Clinical assessment;Y-BOCS scale,Cognitive Behavioral Therapy;Exposure and Response Prevention;SSRIs,Depression;Anxiety disorders,Gradual,Adolescents & adults;Family history,Normal functional imaging;Cortico-striato-thalamo-cortical hyperactivity
Major Depressive Disorder (MDD),Persistent low mood with functional impairment,F32,F33,Persistent sadness;Loss of interest;Fatigue;Sleep/appetite changes;Feelings of worthlessness;Suicidal thoughts,Moderate-Severe,Clinical assessment;PHQ-9 scale;Blood tests to rule out thyroid/deficiency,SSRIs;SNRIs;Psychotherapy;ECT in severe cases,Anxiety disorders;Substance abuse,Gradual,Adolescents & adults;Family history;Reduced hippocampal volume on MRI;Altered prefrontal cortex activity
Bipolar Disorder,Alternating episodes of mania and depression,F31,Elevated/irritable mood;Increased energy;Impulsivity;Depressive episodes with low mood;Fatigue;Sleep disturbances,Moderate-Severe,Clinical assessment;Mood charting;Psychiatric evaluation,Mood stabilizers (Lithium, Valproate);Antipsychotics;Psychotherapy,Anxiety disorders;Substance abuse,Gradual,Adolescents & adults;Family history;Functional MRI: Altered limbic-prefrontal connectivity
Schizophrenia,Chronic psychotic disorder with hallucinations/delusions,F20,Delusions;Hallucinations;Disorganized speech/behavior;Negative symptoms (apathy, social withdrawal),Severe,Clinical assessment;Psychiatric interview;Neuroimaging,Antipsychotics;Psychosocial therapy;Occupational therapy,Substance abuse;Depression,Gradual,Young adults;Family history;Dopamine hyperactivity;Enlarged ventricles on MRI
Panic Disorder with Agoraphobia,Panic attacks with avoidance of public places,F40.01,Palpitations;Chest pain;Sweating;Fear of public spaces;Avoidance behavior,Moderate-Severe,Clinical assessment;Psychological questionnaires;Cardiac evaluation,Cognitive Behavioral Therapy;SSRIs;Exposure therapy,Depression;Other anxiety disorders,Gradual,Adults;History of trauma,Normal functional imaging;Hyperactive amygdala
Severe Anxiety with Functional Impairment,Advanced anxiety causing inability to maintain daily life,N/A,Constant worry;Insomnia;Muscle tension;Restlessness;Social withdrawal;Palpitations;Panic attacks,Severe,Clinical assessment;Psychological scales;Cardiac and thyroid tests,SSRIs;Benzodiazepines;Psychotherapy;Lifestyle interventions,Depression;Cardiovascular disease,Chronic,Adults;High-stress jobs or trauma history,Functional imaging: Hyperactive amygdala;Altered HPA axis activity
Acute Myocardial Infarction (Heart Attack),Sudden blockage of coronary artery causing heart muscle damage,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Cold sweat,Severe,ECG;Troponin levels;Coronary angiography,PCI (angioplasty);Thrombolysis;Aspirin;Beta-blockers,Hypertension;Diabetes;Hyperlipidemia,Acute,Adults >40;Males >Females,ECG: ST elevation;Cardiac MRI: Myocardial necrosis
Angina Pectoris,Chest pain due to temporary reduced blood flow to the heart,I20,Chest tightness;Pressure or squeezing sensation;Shortness of breath;Fatigue,Moderate,ECG;Stress test;Coronary angiography,Nitrates;Beta-blockers;Lifestyle modification,Hypertension;Diabetes;Obesity,Gradual,Adults >40;Smokers,ECG: Ischemic changes;Stress test positive for ischemia
Heart Failure (Left-sided),Heart cannot pump enough blood to the body,I50.1,Shortness of breath;Fatigue;Cough (esp. lying down);Pulmonary edema;Orthopnea,Severe,Echocardiography;BNP blood test;Chest X-ray,Diuretics;ACE inhibitors;Beta-blockers;Lifestyle changes,Hypertension;Coronary artery disease;Diabetes,Gradual,Adults >50;History of MI,CXR: Pulmonary congestion;Echocardiogram: Reduced EF
Heart Failure (Right-sided),Heart cannot pump blood to the lungs efficiently,I50.0,Peripheral edema;Ascites;Fatigue;Shortness of breath;Jugular venous distension,Severe,Echocardiography;BNP;Liver function tests,Diuretics;Treat underlying cause;Lifestyle changes,Lung disease;Left-sided heart failure,Gradual,Adults >50;History of pulmonary disease,CXR: Pleural effusion;Echocardiogram: Right ventricular dilation
Pulmonary Embolism,Blood clot in pulmonary artery causing acute chest symptoms,I26,Acute shortness of breath;Pleuritic chest pain;Cough;Hemoptysis;Tachycardia,Severe,D-dimer;CT pulmonary angiography;Ultrasound of legs,Anticoagulation;Thrombolysis;Surgical embolectomy,Deep vein thrombosis;Cancer;Immobility,Acute,Adults >40;Recent surgery or immobility,CTPA: Filling defect in pulmonary artery
Pneumothorax,Collapsed lung causing sudden chest pain,I26.9,Sudden unilateral chest pain;Shortness of breath;Reduced breath sounds;Cyanosis,Severe,Chest X-ray;CT scan,Needle decompression;Chest tube insertion,Smoking;Lung disease;Trauma,Acute,Young adults;Smokers,CXR: Air in pleural space;Collapsed lung
Pneumonia,Infection of the lungs causing respiratory distress,J18,Cough;Fever;Chills;Shortness of breath;Chest pain;Fatigue,Moderate-Severe,Chest X-ray;Blood tests;Sputum culture,Antibiotics (bacterial);Supportive care,Chronic lung disease;Smoking,Acute,Children;Elderly;Immunocompromised,CXR: Lung infiltrates;Consolidation
Chronic Obstructive Pulmonary Disease (COPD),Progressive airflow limitation due to chronic bronchitis/emphysema,J44,Chronic cough;Sputum production;Shortness of breath;Wheezing;Fatigue,Moderate-Severe,Spirometry;Chest X-ray;CT scan,Inhaled bronchodilators;Corticosteroids;Oxygen therapy,Smoking;Asthma;Heart disease,Gradual,Adults >40;Smokers,CXR: Hyperinflated lungs;Flattened diaphragm
Asthma,Chronic inflammatory airway disease with episodic attacks,J45,Wheezing;Shortness of breath;Chest tightness;Cough (esp. at night);Exercise-induced breathlessness,Mild-Moderate,Spirometry;Allergy testing,Inhaled corticosteroids;Bronchodilators;Allergen avoidance,Allergic rhinitis;Eczema,Acute/Chronic,Children;Allergy-prone adults,CXR: Usually normal;Hyperinflation during attacks
Lung Cancer,Malignant tumor of lung tissue,C34,Persistent cough;Hemoptysis;Chest pain;Shortness of breath;Weight loss,Severe,CT scan;PET scan;Biopsy,Surgery;Chemotherapy;Radiotherapy;Targeted therapy,Smoking;COPD;Exposure to carcinogens,Gradual,Adults >50;Smokers,CT: Mass lesion;PET: Hypermetabolic nodule
Tuberculosis,Chronic bacterial infection of lungs,A15,Chronic cough;Hemoptysis;Night sweats;Weight loss;Fever;Fatigue,Severe,Chest X-ray;Sputum culture;Mantoux test,Antitubercular therapy,HIV/AIDS;Malnutrition,Gradual,All ages;Immunocompromised,CXR: Upper lobe infiltrates;Cavitation
Interstitial Lung Disease,Group of disorders causing lung scarring,J84,Progressive shortness of breath;Dry cough;Fatigue;Clubbing,Moderate-Severe,High-resolution CT;Pulmonary function tests;Lung biopsy,Oxygen therapy;Anti-fibrotic drugs;Immunosuppressants,Autoimmune disorders;Exposure to toxins,Gradual,Adults >50;Occupational exposure,HRCT: Reticular markings;Honeycombing
Pericarditis,Inflammation of the pericardium,I30,Sharp chest pain;Worse on lying down;Fever;Pericardial friction rub,Moderate-Evere,ECG;Echocardiography;Blood tests,NSAIDs;Colchicine;Corticosteroids,Myocardial infarction;Viral infection,Acute,Adults;Recent infection or MI,Echocardiogram: Pericardial effusion
